id,name,class,mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
12102,,TNO,3.54996828262993e+18,0.850335874914718292672,22.590384174727834221130,-4.583497226922943035277,-0.000956124158349615574,-0.000332206396311615507,0.004487542477815417187
12103,,TJN,4128208551530390,5.179374416617961607301,-1.470912777219700595666,-0.843002825285521839582,0.001763373970211234857,0.006836473226184623143,-0.001467419576896330157
12104,,TJN,3163935393129757,4.433588875609453694437,-2.432523699836185659962,-0.849745594559524364264,0.003605051442842010199,0.006667207240786034855,-0.000716883890122794348
12105,,MCA,50846707010941.48,-1.681222317395026255582,-1.377583587257046104924,-0.350903012786178858384,0.003249886757658111604,-0.011026586754657469874,0.003485770808030123295
12106,,OMB,178874798642271.72,2.643510394688051157175,-1.848713652353865644073,0.009141836261005897857,0.007244616910165485243,0.006370310863222852261,-0.000592000450396564307
12107,,TJN,4636872875019018,4.399655923487995501375,-1.565184317010112291513,-0.746038905312642608436,0.003188305231038807228,0.007543234796320902671,-0.000699098148299655102
12108,,IMB,23199119430835.254,0.919686329245313016756,1.480883767287323182771,-0.791824570245578285288,-0.010303308441399797526,0.006240679625102972701,0.000626960757095214294
12109,,OMB,820786502198260.5,-3.151071952055505498436,-2.824440535997770229670,0.720315794741645865074,0.006340370308839311450,-0.004798323256748856722,-0.000429148036165328671
12110,,APO,3861311662571.675,-1.562068040428791659835,1.794282310326911211718,-0.201696326361509720160,-0.008962499308220151298,-0.002444825051430419682,-0.001740364084526929396
12111,,OMB,786123170093020.1,-3.626035690068742045611,0.926619828770599451850,1.461636371955536528588,-0.001330592095197784567,-0.007221379136217122643,-0.001082141053954027233
12112,,OMB,2051915523407611,-0.671811414482977653506,3.267915674271520742877,0.476366922152472282992,-0.008326472928444938679,-0.003823799222821035616,0.002170294502097114449
12113,,MBA,1235220231916919,-0.099770548000201145222,2.511147965390137848374,-0.895456832115031242658,-0.010884567486965111838,-0.002596232342793158843,-0.001586715401750538913
12114,,MBA,790027748257370.4,-2.059626503694588883775,2.369230041385912866048,1.298354805468219685949,-0.006938459216009450897,-0.005577789320034303409,-0.000123069520787809426
12115,,MBA,1581623937018507.2,0.032552456155537333460,3.846893356459614832232,1.276822993435350994673,-0.006974602962000476560,0.000070146303297153616,-0.001788524531208021901
12116,,MCA,137917149407078.45,1.039610909594812060419,3.137248359888361814996,1.499885589782300021611,-0.006748196964552409007,0.001471030091404954042,-0.001516108261498553449
12117,,IMB,19936085103708.027,-1.652470122177790656792,0.926750299943619570975,-0.721556614369934234965,-0.006152109048722500216,-0.009922518570689965733,0.001577860000224668964
12118,,OMB,478606780089219.44,2.838283921903890671956,1.440521872269189040949,0.131240750364926939131,-0.005191919296424994494,0.007946858534668121629,0.002130391749617541360
12119,,TJN,4021808363315413,4.097836917767097908438,-2.693875956038133345771,1.159295689429382436586,0.003290227729629030106,0.006388656799334434949,0.002808528127235495817
12120,,OMB,339608773865832.94,1.244959792890626637529,3.016819090620407095571,0.897281742814322824664,-0.008624433272194986094,0.002644117594547745319,-0.001025625328430825349
12121,,MCA,16400972492585.375,0.450164133806535138316,-2.312364822262841901335,-0.111672452323439516664,0.009708053596501698204,0.005384002659071369240,0.000888116439393490985
12122,,TJN,4527701707369310,4.898089252557935147081,-1.734817655646396339364,-0.161807067773450163894,0.002671410815379670831,0.007132577037422993711,0.000346961855827769398
12123,,TJN,4066304565244400,4.456112241669385021225,-2.206283901792844837075,0.460117561991979340252,0.003196549911480446593,0.007179821454843500830,-0.000655731918670116108
12124,,MCA,31140505077694.418,-0.635131550928165200531,-1.625404801619475536612,-0.076181398423809165710,0.012913173372949877590,-0.002272092176891095817,-0.006478302755073742265
12125,,TJN,5739873436622621,4.670632277601555415458,-1.092196496520259740848,0.485458332945174875217,0.002450677927642057417,0.007489222961410853946,0.001944852889402975699
