id,name,class,mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
19,Luna,SAT,7.345811000000000295e+22,-0.1706480090982228914,0.9671664157420506447,0.0002402400939054761587,-0.01691224676782549993,-0.003466880868905131748,-9.053982433260315842e-07
20,Phobos,SAT,10619190000000000,1.390395276732041552,-0.02096038877676992956,-0.03463248768533519484,-0.000142170503931231219,0.01593459391162775282,0.0007661728961330994438
21,Deimos,SAT,1440690000000000,1.39023266161539838,-0.02095296548228782821,-0.03454810980722682057,0.0004799950348105273866,0.01446013562420482394,0.000396946400151520606
22,Io,SAT,8.92967600000000076e+22,4.003760287115326832,2.932543370576661701,-0.1019183153713166812,0.005363099892236283632,0.007527681003887623339,0.0002646684224780750062
23,Europa,SAT,4.798588000000000026e+22,3.99923566457527313,2.936807802911403087,-0.1018433933752752318,-0.007086839543133356158,-0.00110659511296519724,-0.0001705329825596163377
24,Ganymede,SAT,1.481483000000000012e+23,3.996537436954925582,2.933536917892628271,-0.1019677449645870759,-0.002956962247853839494,0.0003757339986202859125,-0.000131188757077389188
25,Callisto,SAT,1.075663999999999979e+23,4.007912770412000114,2.947089998335257643,-0.1013810877315752812,-0.00898774677891478295,0.008159794724885217551,7.28939390077454558e-05
26,Amalthea,SAT,2465636000000000000,4.00423484932728968,2.936281122352725426,-0.1017722166138307627,-0.01635791730960460197,0.01622241623288348672,0.0001913850546932853534
27,Himalia,SAT,2270693000000000000,3.971389726709431134,2.995518351962763948,-0.06971377102267943549,-0.006200411909807300101,0.005626779607472692964,0.0007281577743658500896
28,Elara,SAT,869227700000000000,3.963310976858094303,2.897832949747978226,-0.07335073714237388964,-0.003009738394135604879,0.00472950575031523112,-0.0003476699485774082396
29,Pasiphae,SAT,299733700000000000,4.013027553993289587,2.788024403295362497,-0.01912992231580858127,-0.005613459621461331511,0.007047281782512171237,0.0003283488536241063044
30,Sinope,SAT,74933420000000000,3.842851451389750039,3.05069548089970155,-0.07249481744636451785,-0.00417845548666616589,0.007256728969481492098,-0.0003485549736468024481
31,Lysithea,SAT,62944070000000000,4.070942487636708407,2.953210716570113803,-0.09823342372388989274,-0.005257316788036949656,0.008192223494818368784,0.001046481830337350673
32,Carme,SAT,131882800000000000,3.906112309728120291,2.792727729942674486,-0.1425924014950802898,-0.005351076842820459006,0.007342348699711753225,-1.377132040971708327e-05
33,Ananke,SAT,29973370000000000,4.078623398802367461,3.067131394023379087,-0.1612918050050104468,-0.003757187424268199939,0.005664102039766668976,0.0005870205716223419632
34,Leda,SAT,10940280000000000,4.080305123766233777,2.921590515541756972,-0.0719872404940826438,-0.004280536186562118768,0.008041522486031724148,-0.0005038016307270624938
35,Thebe,SAT,451704200000000000,4.003679403592979469,2.933889848380547338,-0.1018963536956387639,0.009081792746207937445,0.008706936593958656753,0.0004858241993110192294
36,Adrastea,SAT,2082622000000000,4.004201966760703613,2.934911489976709031,-0.101827973440766148,0.004728472320943412528,0.02202526894991943193,0.0007677003397693741606
37,Metis,SAT,37472210000000000,4.003513647939914932,2.934499883098601547,-0.1018528238835134381,0.01364307084722172353,0.007573410706543637003,0.0003838839032314287887
38,Callirrhoe,SAT,869227700000000,3.915833271810273963,3.071645608540011008,-0.04363260258539926328,-0.003985696168352557099,0.007313314372543947527,-0.0005242529979899316966
39,Themisto,SAT,689387500000000,4.04640681324725815,2.930610629381547039,-0.08016625310668221149,-0.004110082933706888861,0.008269019512640741337,-0.001487011644496164225
40,Megaclite,SAT,209813600000000,3.815125597377194033,2.90172921091497793,-0.002181607562615581197,-0.005036890555998849855,0.007263626961630287142,0.0001456003956075799135
41,Taygete,SAT,164853500000000,4.119315059102487631,2.803365060925483654,-0.1121903840207054831,-0.005172065417515215972,0.005531546933147376242,0.0003970423601502525682
42,Chaldene,SAT,74933420000000,4.157789260617022364,2.962254879835013455,-0.06900212988066323216,-0.004561562942105449117,0.005150851422754551545,-0.0001548848669081854721
43,Harpalyke,SAT,119893500000000,4.086308306688221315,3.069179898138854057,-0.1369201372576592524,-0.003730104780541179145,0.005748639219762325357,0.0006822913612964298571
44,Kalyke,SAT,194826900000000,4.123400105605504073,2.800187609192450466,-0.05834797656154962903,-0.005473194354671125604,0.005888874860431575486,4.698310204614512809e-05
45,Iocaste,SAT,194826900000000,4.153443454812243196,2.924873010535511408,-0.1920981372479715898,-0.004629778574618329673,0.005341894469780531993,0.0001034483746454555985
46,Erinome,SAT,44960050000000,4.045153149092329592,3.093871372741632708,-0.1479499363392752509,-0.003557689330001064399,0.005735908456405344573,-2.305272252932213451e-05
47,Isonoe,SAT,74933420000000,3.90223061002411109,2.801371905031240672,-0.1430694731950372667,-0.005613512058606984038,0.007063422379493066935,-5.567168238186290512e-06
48,Praxidike,SAT,434613800000000,4.098349388408133009,2.826287228763159742,-0.1555491343378526958,-0.005118518579556232719,0.005455110040925645679,0.0006302514380733855847
49,Autonoe,SAT,89920110000000,4.102499744943874482,3.095407969822816074,-0.1498264046220743884,-0.003718552981961798735,0.005952265623345274689,-0.0004298895641383083097
50,Thyone,SAT,89920110000000,4.039315663092967412,2.771510845990454275,-0.1663194639889580828,-0.005496456073611683847,0.006421386509640167155,0.0005419572496010873321
51,Hermippe,SAT,89920110000000,3.953145312702016412,2.799308804613266144,-0.01890312626554555009,-0.005668617522385528858,0.006840406721485732533,0.000193737428621892731
